SKLYPO_ID,drenazo_plotu_proc
550100040158,100.0
550100040159,29.06
550100040160,98.35
550100040161,0.0
550100040163,2.64
550100040164,0.0
550100040165,0.0
550100040166,0.0
550100040167,0.0
550100040168,0.16
550100040169,0.0
550100040170,0.01
550100040171,0.0
550100040172,1.12
550100040174,100.0
550100040175,0.0
550100040176,0.0
550100040177,0.0
550100040178,0.0
550100040179,0.0
550100040180,91.28
550100040182,0.3
550100040183,0.0
550100040184,6.96
550100040185,100.0
550100040186,100.0
550100040187,5.85
550100040188,0.0
550100040189,100.0
550100040190,99.68
550100040192,100.0
550100040193,0.0
550100040194,100.0
550100040195,0.0
550100040196,0.79
550100040197,97.19
550100040198,0.0
550100040199,2.82
550100040200,98.53
550100040201,4.87
550100040202,0.0
550100040203,0.54
550100040204,100.0
550100040205,100.0
550100040206,100.0
550100040207,0.04
550100040208,0.0
550100040209,0.0
550100040210,73.65
550100040211,0.05
550100040212,0.0
550100040213,100.0
550100040214,0.0
550100040215,0.0
550100040216,24.74
550100040217,0.0
550100040218,0.0
550100040219,0.0
550100040220,71.11
550100040221,99.96
550100040222,99.65
550100040223,99.99
550100040224,0.14
550100040225,0.05
550100040226,93.08
550100040227,100.0
550100040228,99.72
550100040229,100.0
550100040230,74.58
550100040231,0.0
550100040232,100.0
550100040233,100.0
550100040234,97.95
550100040235,100.0
550100040236,100.0
550100040237,84.82
550100040238,0.0
550100040239,0.0
550100040240,33.17
550100040241,0.0
550100040242,100.0
550100040243,0.0
550100040244,23.65
550100040245,0.0
550100040246,0.0
550100040247,13.5
550100040248,0.0
550100040249,8.07
550100040261,68.32
550100040262,55.79
550100040263,0.0
550100040264,0.0
550100040265,73.82
550100040266,0.0
550100040268,0.0
550100040269,100.0
550100040270,100.0
550100040271,99.64
550100040272,100.0
550100040273,72.74
550100040274,0.0
550100040275,100.0
550100040276,83.65
550100040277,5.91
550100040278,0.0
550100040279,96.86
550100040280,0.0
550100040281,0.0
550100040282,0.0
550100040283,0.0
550100040284,2.21
550100040285,0.0
550100040471,0.0
550100040472,0.0
550100040473,0.0
550100040474,63.77
550100040475,0.0
550100040476,36.99
550100040477,74.23
550100040478,0.01
550100040479,92.5
550100040480,94.93
550100040481,44.68
550100040483,100.0
550100040484,100.0
550100040485,62.05
550100040486,0.0
550100040487,83.37
550100040488,100.0
550100040489,0.0
550100040490,0.0
550100040491,0.0
550100040493,0.0
550100040494,0.0
550100040495,0.0
550100040496,0.0
550100040497,0.0
550100040498,0.0
550100040499,0.0
550100040500,97.44
550100040501,100.0
550100040502,92.14
550100040503,100.0
550100040504,100.0
550100040505,100.0
550100040506,0.0
550100040507,95.67
550100040508,2.24
550100040509,1.41
550100040510,100.0
550100040511,0.0
550100040512,76.23
550100040513,93.99
550100040514,100.0
550100040515,0.01
550100040516,0.0
550100040517,0.0
550100040518,100.0
550100040519,100.0
550100040520,0.04
550100040521,100.0
550100040522,64.85
550100040523,0.0
550100040524,0.0
550100040525,67.87
550100040526,0.0
550100040527,100.0
550100040528,100.0
550100040529,100.0
550100040530,100.0
550100040532,12.0
550100040533,99.68
550100040534,97.65
550100040535,92.77
550100040536,81.63
550100040537,100.0
550100040538,100.0
550100040539,100.0
550100040540,100.0
550100040541,100.0
550100040542,100.0
550100040543,100.0
550100040544,100.0
550100040545,98.33
550100040546,21.88
550100040547,37.88
550100040548,45.41
550100040549,100.0
550100040550,100.0
550100040551,72.35
550100040552,0.0
550100040553,85.69
550100040554,0.0
550100040555,0.0
550100040556,72.15
550100040557,63.05
550100040558,97.7
550100040559,96.82
550100040560,0.0
550100040561,0.0
550100040562,0.0
550100040563,0.0
550100040564,68.26
550100040565,0.0
550100040566,0.0
550100040567,100.0
550100040568,0.0
550100040569,0.62
550100040570,100.0
550100040571,0.0
550100040572,0.0
550100040573,98.45
550100040574,100.0
550100040575,73.83
550100040576,97.96
550100040577,98.98
550100040578,1.71
550100040579,3.25
550100040580,98.33
550100040581,98.76
550100040582,0.49
550100040583,0.37
550100040584,0.0
550100040585,98.1
550100040586,100.0
550100040587,100.0
550100040588,14.33
550100040590,99.23
550100040591,100.0
550100040593,48.81
550100040594,73.75
550100040595,0.0
550100040596,0.0
550100040597,99.31
550100040598,97.01
550100040599,0.0
550100040600,100.0
550100040601,100.0
550100040602,0.0
550100040603,96.72
550100040604,99.01
550100040605,0.0
550100040606,0.0
550100040607,0.0
550100040608,1.02
550100040609,0.0
550100040610,0.0
550100040611,0.0
550100040612,89.65
550100040613,94.42
550100040614,0.0
550100040615,0.0
550100040616,100.0
550100040617,100.0
550100040618,0.0
550100040619,0.0
550100040620,0.0
550100040621,0.0
550100040622,100.0
550100040623,88.65
550100040624,97.6
550100040625,58.83
550100040626,26.08
550100040627,99.3
550100040628,100.0
550100040629,0.0
550100040630,100.0
550100040631,35.51
550100040632,0.0
